(1 3 5 7 9 13 17 19 21 23).	 (23 22 21 20)
(1 3 5 7 11 13 17 19 21 23).	 (7 6 5 4)
(1 3 5 7 9 15 17 19 21 23).	 (31 30 29 28)
(1 3 5 7 11 15 17 19 21 23).	 (15 14 13 12)
(1 5 9 11 13 15 17 19 21 23).	 (55 54 53 52)
(3 5 9 11 13 15 17 19 21 23).	 (39 38 37 36)
(1 7 9 11 13 15 17 19 21 23).	 (63 62 61 60)
(3 7 9 11 13 15 17 19 21 23).	 (47 46 45 44)
(1 3 5 7 9 13 17 19 21 25).	 (21 20)
(1 3 5 7 11 13 17 19 21 25).	 (5 4)
(1 3 5 7 9 15 17 19 21 25).	 (29 28)
(1 3 5 7 11 15 17 19 21 25).	 (13 12)
(1 5 9 11 13 15 17 19 21 25).	 (53 52)
(3 5 9 11 13 15 17 19 21 25).	 (37 36)
(1 7 9 11 13 15 17 19 21 25).	 (61 60)
(3 7 9 11 13 15 17 19 21 25).	 (45 44)
(1 3 5 7 9 13 17 19 23 25).	 (21 20)
(1 3 5 7 11 13 17 19 23 25).	 (5 4)
(1 3 5 7 9 15 17 19 23 25).	 (29 28)
(1 3 5 7 11 15 17 19 23 25).	 (13 12)
(1 5 9 11 13 15 17 19 23 25).	 (53 52)
(3 5 9 11 13 15 17 19 23 25).	 (37 36)
(1 7 9 11 13 15 17 19 23 25).	 (61 60)
(3 7 9 11 13 15 17 19 23 25).	 (45 44)
(1 3 5 7 9 13 17 21 23 25).	 (21 20)
(1 3 5 7 11 13 17 21 23 25).	 (5 4)
(1 3 5 7 9 15 17 21 23 25).	 (29 28)
(1 3 5 7 11 15 17 21 23 25).	 (13 12)
(1 5 9 11 13 15 17 21 23 25).	 (53 52)
(3 5 9 11 13 15 17 21 23 25).	 (37 36)
(1 7 9 11 13 15 17 21 23 25).	 (61 60)
(3 7 9 11 13 15 17 21 23 25).	 (45 44)
(1 3 5 7 9 13 19 21 23 25).	 (21 20)
(1 3 5 7 11 13 19 21 23 25).	 (5 4)
(1 3 5 7 9 15 19 21 23 25).	 (29 28)
(1 3 5 7 11 15 19 21 23 25).	 (13 12)
(1 5 9 11 13 15 19 21 23 25).	 (53 52)
(3 5 9 11 13 15 19 21 23 25).	 (37 36)
(1 7 9 11 13 15 19 21 23 25).	 (61 60)
(3 7 9 11 13 15 19 21 23 25).	 (45 44)
(1 3 5 7 9 17 19 21 23 25).	 (29 28 21 20)
(1 3 5 7 11 17 19 21 23 25).	 (13 12 5 4)
(1 3 5 7 13 17 19 21 23 25).	 (21 20 5 4)
(1 3 5 9 13 17 19 21 23 25).	 (21 20)
(1 3 7 9 13 17 19 21 23 25).	 (21 20)
(1 5 7 9 13 17 19 21 23 25).	 (21 20)
(3 5 7 9 13 17 19 21 23 25).	 (21 20)
(1 3 5 11 13 17 19 21 23 25).	 (5 4)
(1 3 7 11 13 17 19 21 23 25).	 (5 4)
(1 5 7 11 13 17 19 21 23 25).	 (5 4)
(3 5 7 11 13 17 19 21 23 25).	 (5 4)
(1 5 9 11 13 17 19 21 23 25).	 (53 52)
(3 5 9 11 13 17 19 21 23 25).	 (37 36)
