barriers\fthresh-tblex-f	calls to FK: 3 	 CPU time: 0
barriers\fthresh-tbnaive-f	calls to FK: 3 	 CPU time: 0
barriers\fthresh-tbnaivelast-f	calls to FK: 3 	 CPU time: 0
barriers\fthresh-tbrand-f	calls to FK: 3 	 CPU time: 0
barriers\fmin-tblex-f	calls to FK: 3 	 CPU time: 0
barriers\fmin-tbnaive-f	calls to FK: 3 	 CPU time: 16
barriers\fmin-tbnaivelast-f	calls to FK: 3 	 CPU time: 0
barriers\fmin-tbrand-f	calls to FK: 3 	 CPU time: 0
barriers\fmax-tblex-f	calls to FK: 3 	 CPU time: 0
barriers\fmax-tbnaive-f	calls to FK: 3 	 CPU time: 0
barriers\fmax-tbnaivelast-f	calls to FK: 3 	 CPU time: 0
barriers\fmax-tbrand-f	calls to FK: 3 	 CPU time: 0
barriers\fcons-tblex-f	calls to FK: 3 	 CPU time: 0
barriers\fcons-tbnaive-f	calls to FK: 3 	 CPU time: 0
barriers\fcons-tbnaivelast-f	calls to FK: 3 	 CPU time: 16
barriers\fcons-tbrand-f	calls to FK: 3 	 CPU time: 0
barriers\fconsmax-tblex-f	calls to FK: 3 	 CPU time: 0
barriers\fconsmax-tbnaive-f	calls to FK: 3 	 CPU time: 0
barriers\fconsmax-tbnaivelast-f	calls to FK: 3 	 CPU time: 15
barriers\fconsmax-tbrand-f	calls to FK: 3 	 CPU time: 0
barriers\fthomas-tblex-f	calls to FK: 3 	 CPU time: 0
barriers\fthomas-tbnaive-f	calls to FK: 3 	 CPU time: 0
barriers\fthomas-tbnaivelast-f	calls to FK: 3 	 CPU time: 0
barriers\fthomas-tbrand-f	calls to FK: 3 	 CPU time: 0
