
Gurvich-Khachiyan 3 :
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd	        |F|     |G|     leaf nodes  
"first-fmax" 	0       0       9936    0       0       0       0       0       0       0       0               128     64      48487
"first-fthresh" 0       0       7344    0       0       0       0       0       0       0       0               128     64      33457
"first-fnone"   0       0       7344    0       0       0       0       0       0       0       0               128     64      33457
"rand-fmax" 	0       0       9929    2326    9922    0       0       0       3796    1056    2744            128     64      80138
"rand-fthresh"  0       0       11101   30031   83315   0       0       0       16881   9054    27349           128     64      364754
"rand-fnone"    0       0       11209   28742   82861   0       0       0       15716   9200    29203           128     64      359795

matching:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd	        |F|     |G|     leaf nodes
"20-fmax"       0       0       256     0       0       0       0       0       0       0       0               10      1024    1023
"20-fthresh"    0       0       256     0       0       0       0       0       0       0       0               10      1024    1023
"20-fnone"      0       0       256     0       0       0       0       0       0       0       0               10      1024    1023

"24-fmax"       0       0       1024    0       0       0       0       0       0       0       0               12      4096    4095
"24-fthresh"    0       0       1024    0       0       0       0       0       0       0       0               12      4096    4095
"24-fnone"      0       0       1024    0       0       0       0       0       0       0       0               12      4096    4095

"28-fmax"       0       0       4096    0       0       0       0       0       0       0       0               14      16384   16383
"28-fthresh"    0       0       4096    0       0       0       0       0       0       0       0               14      16384   16383
"28-fnone"      0       0       4096    0       0       0       0       0       0       0       0               14      16384   16383

"30-fmax"       0       0       8192    0       0       0       0       0       0       0       0               15      32768   32767
"30-fthresh"    0       0       8192    0       0       0       0       0       0       0       0               15      32768   32767
"30-fnone"      0       0       8192    0       0       0       0       0       0       0       0               15      32768   32767

"32-fmax"       0       0       16384   0       0       0       0       0       0       0       0               16      65536   65535
"32-fthresh"    0       0       16384   0       0       0       0       0       0       0       0               16      65536   65535
"32-fnone"      0       0       16384   0       0       0       0       0       0       0       0               16      65536   65535

self dual threshold graph:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd

"42-fmax"	0	0	0	0	6	0	0	0	4	0	0		422     422	78
"42-fthresh"    0       0       0       0       72      0       0       0       0       72      0               422     422     792
"42-fnone"  	0       0       0       2       76      0       0       0       0       74      0               422     422     874

"62-fmax"    	0       0       0       0       6       0       0       0       4       0       0               932     932     118
"62-fthresh" 	0       0       0       0       112     0       0       0       0       112     0               932     932     1748
"62-fnone"  	0       0       0       2       116     0       0       0       0       114     0               932     932     1914

"82-fmax"   	0       0       0       0       6       0       0       0       4       0       0               1642    1642    158
"82-fthresh"    0       0       0       2       6       0       0       0       4       0       0               1642    1642    160
"82-fnone"  	0       0       0       2       156     0       0       0       0       154     0               1642    1642    3354

"102-fmax"  	0       0       0       0       6       0       0       0       4       0       0               2552    2552    198
"102-fthresh"   0       0       0       2       6       0       0       0       4       0       0               2552    2552    200
"102-fnone" 	0       0       0       2       196     0       0       0       0       194     0               2552    2552    5194

"122-fmax"  	0       0       0       0       6       0       0       0       4       0       0               3662   3662     238
"122-fthresh"   0       0       0       2       6       0       0       0       4       0       0               3662   3662    240
"122-fnone" 	0       0       0       2       236     0       0       0       0       234     0               3662   3662     7434

self dual fano plane:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd		|F|     |G|     leaf nodes
"9-fmax"        0       0       12      0       0       0       0       0       0       0       0               15      15      42
"9-fthresh"     0       0       0       0       12      12      0       0       0       0       0               15      15      48
"9-fnone"       0       0       0       0       12      12      0       0       0       0       0               15      15      48

"16-fmax"       0       0       264     0       12      0       0       0       0       0       12              64      64      1018
"16-fthresh"    0       0       0       288     576     0       0       0       0       288     0               64      64      2112
"16-fnone"      0       0       0       288     576     0       0       0       0       288     0               64      64      2304

"23-fmax"       0       0       5940    0       456     0       0       0       0       0       456             365     365     24616
"23-fthresh"    0       0       0       6912    13824   0       0       0       0       6912    0               365     365     51840
"23-fnone"      0       0       0       6912    13824   0       0       0       0       6912    0               365     365     56448

"30-fmax"       0       0       136016  0       13276   0       0       0       0       280     12996           2430    2430    595354
"30-fthresh"    0       0       0       165888  331776  0       0       0       0       165888  0               2430    2430    1245312
"30-fnone"      0       0       0       165888  331776  0       0       0       0       165888  0               2430    2430    1355904

"37-fmax"       0       0       3152268 0       358928  0       0       0       0       29696   329232          16843  16843    14433084
"37-fthresh"    0       0       0       3981312 7962624 0       0       0       0       3981312 0               16843  16843    29888640
"37-fnone"      0       0       0       3981312 7962624 0       0       0       0       3981312 0               16843  16843    32542848	

connect4- win:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd	        |F|     |G|     leaf nodes
"100-fmax"   	0       0       84      16      50      0       4       0       2       9       19              100     287     690
"100-fthresh"   0       0       8       137     528     0       0       0       25      7       359             100     287     3795
"100-fnone"  	0       0       8       190     781     0       0       0       26      15      550             100     287     5325

"200-fmax"   	0       0       324     69      363     0       16      0       51      84      143             200     1145    3387
"200-fthresh"   0       0       459     54      3255    0       59      0       703     11      2428            200     1145    18283
"200-fnone"  	0       0       562     66      4199    0       71      0       979     5       3078            200     1145    23070

"400-fmax"   	0       0       1695    218     1848    0       46      0       294     527     759             400     6069    16729
"400-fthresh"   0       0       712     553     10100   0       142     0       1675    48      7682            400     6069    60080
"400-fnone"  	0       0       755     637     11985   0       162     0       2173    63      8950            400     6069    70308

"800-fmax"   	0       0       2954    428     3339    0       60      0       617     1284    943             800     11675   30005
"800-fthresh"   0       0       672     1255    16714   0       259     0       1867    220     13113           800     11675   101899
"800-fnone"  	0       0       722     1485    21255   0       401     0       2608    212     16549           800     11675   129833


connect4 - lose:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd	        |F|     |G|     leaf nodes
"100-fmax"  	0       0       529     36      502     0       3       0       32      391     40              100     2341    4868
"100-fthresh"   0       0       166     156     4598    0       196     0       848     543     2855            100     2341    23032
"100-fnone" 	0       0       166     159     5018    0       198     0       905     280     3476            100     2341    24856

"200-fmax"  	0       0       2514    84      5951    0       17      0       1440    4123    287             200     22760   37486
"200-fthresh"   0       0       1178    13595   82796   0       1964    0       4720    17743   44774           200     22760   396528
"200-fnone" 	0       0       1209    21777   94677   0       3816    0       5286    15934   47864           200     22760   460695

"400-fmax"  	0       0       6496    567     10365   1       65      0       1909    6591    1231            400     33087   79619
"400-fthresh"   0       0       9184    57311   198356  0       2934    0       16550   24019   97542           400     33087   934066
"400-fnone" 	0       0       10184   75810   251131  0       4781    0       19753   25522   125265          400     33087   1179924

"800-fmax"  	0       0       19486   1379    23371   0       132     0       6917    12339   2598            800     79632   192319
"800-fthresh"   0       0       29393   374018  838967  0       43220   0       48001   78587   293438          800     79632   3994338
"800-fnone" 	0       0       44125   635974  1318814 0       84332   0       70957   107132  418038          800     79632   6408903



Threshold:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd		|F|    |G|      leaf nodes
"40-fmax"     	0       0       0       0       3       0       0       0       2       0       0               400     21      38
"40-fthresh"  	0       0       0       0       3       0       0       0       2       0       0               400     21      39
"40-fnone"    	0       0       0       0       3       0       0       0       2       0       0               400     21      39
"60-fmax"     	0       0       0       0       3       0       0       0       2       0       0               900     31      58
"60-fthresh"  	0       0       0       0       3       0       0       0       2       0       0               900     31      59
"60-fnone"   	0       0       0       0       3       0       0       0       2       0       0               900     31      59
"80-fmax"     	0       0       0       0       3       0       0       0       2       0       0               1600    41      78
"80-fthresh"  	0       0       0       0       3       0       0       0       2       0       0               1600    41      79
"80-fnone"    	0       0       0       0       3       0       0       0       2       0       0               1600    41      79
"100-fmax"    	0       0       0       0       3       0       0       0       2       0       0               2500    51      98
"100-fthresh" 	0       0       0       0       3       0       0       0       2       0       0               2500    51      99
"100-fnone"   	0       0       0       0       3       0       0       0       2       0       0               2500    51      99


accidents:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd		|F|    |G|      leaf nodes
"150k-fmax"  	8       2       0       16      110     9       0       1       36      13      13              447    1039     597
"150k-fthresh"  0       0       0       0       61      0       0       0       57      1       3               447    1039     4897
"150k-fnone" 	0       0       0       0       285     0       0       0       265     0       20              447    1039     20022


Uniform random-1000:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd		|F|     |G|     leaf nodes
"p9-fmax"  	65      22      162     193     1973    175     121     24      1033    74      98              795    	30429   18278
"p9-fthresh"    59      4       22      252     2441    112     12      212     1159    0       594             795     30429   39864
"p9-fnone" 	59      4       23      250     2452    114     14      214     1164    0       595             795    	30429   39917
"p8-fmax"  	42      88      9079    7868    35598   858     923     251     14350   6405    3607            975    	364902  279592
"p8-fthresh"    420     125     1696    15578   100369  2400    870     2928    51527   1842    22551           975    	364902  983406
"p8-fnone" 	484     129     1747    15970   101666  2539    829     3110    51699   1754    23005           975    	364902  988668

	
uniform random 2000:
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd	        |F|     |G|     leaf nodes 

